Query,Classification
ozerza,noneducational
yygtkpf,noneducational
FBI,noneducational
GPA,educational
PhD,educational
WHO,educational
dcvcpsgk,noneducational
LOL,noneducational
GPA,educational
yhomfa,noneducational
ioqpvf,noneducational
qqqtoq,noneducational
izuufifi,noneducational
PhD,educational
orm,noneducational
hqwe,noneducational
LOL,noneducational
UNESCO,educational
AI,educational
cbtz,noneducational
GTG,noneducational
HTTP,educational
AI,educational
dcth,noneducational
vkfnzm,noneducational
ASAP,noneducational
PhD,educational
AI,educational
ASAP,noneducational
PhD,educational
GTG,noneducational
GPA,educational
ASAP,noneducational
kbiszs,noneducational
vheohgo,noneducational
AI,educational
egkjmv,noneducational
BRB,noneducational
byzuz,noneducational
ktxvrilr,noneducational
HTTP,educational
whta,noneducational
NASA,educational
ovjo,noneducational
LOL,noneducational
bhnfkan,noneducational
LOL,noneducational
WWF,noneducational
ASAP,noneducational
WWF,noneducational
llfv,noneducational
UNESCO,educational
yoykla,noneducational
NASA,educational
BRB,noneducational
uxe,noneducational
cmvtuyo,noneducational
PhD,educational
HTTP,educational
opsh,noneducational
UNESCO,educational
WHO,educational
ejkaa,noneducational
toipla,noneducational
yfnkno,noneducational
WHO,educational
WWF,noneducational
NASA,educational
FYI,noneducational
kapsmm,noneducational
hmydguja,noneducational
GTG,noneducational
GPA,educational
tnoabja,noneducational
cnacjqwi,noneducational
xre,noneducational
FYI,noneducational
FBI,noneducational
yqizgg,noneducational
xum,noneducational
PhD,educational
UNESCO,educational
AI,educational
gopi,noneducational
jjsvnkah,noneducational
GTG,noneducational
qbfoi,noneducational
wmvepkhn,noneducational
UNESCO,educational
WWF,noneducational
jidy,noneducational
LOL,noneducational
BRB,noneducational
gapudfsp,noneducational
ctwg,noneducational
ieb,noneducational
zgazpkqc,noneducational
ymmwmy,noneducational
xrvijvrl,noneducational
awbbq,noneducational
aujguohy,noneducational
AI,educational
ccsg,noneducational
BRB,noneducational
zscysq,noneducational
vmewhr,noneducational
ROFL,noneducational
cpe,noneducational
HTTP,educational
HTTP,educational
sioysgf,noneducational
avpzqh,noneducational
lslhtl,noneducational
ROFL,noneducational
BRB,noneducational
nayaaoid,noneducational
kbjqk,noneducational
zcbqam,noneducational
PhD,educational
HTTP,educational
lhactpwj,noneducational
wtlybez,noneducational
etv,noneducational
gkb,noneducational
ienbwrhd,noneducational
fbjd,noneducational
WWF,noneducational
vutpkhdq,noneducational
WWF,noneducational
ehhtdb,noneducational
lszlw,noneducational
PhD,educational
NASA,educational
jug,noneducational
BRB,noneducational
zsyicv,noneducational
xyl,noneducational
GTG,noneducational
PhD,educational
sgthndml,noneducational
NASA,educational
ydftya,noneducational
wwagandn,noneducational
WWF,noneducational
FBI,noneducational
ASAP,noneducational
nyz,noneducational
cog,noneducational
AI,educational
HTTP,educational
ASAP,noneducational
qru,noneducational
fijpime,noneducational
cdpu,noneducational
zka,noneducational
hiklyi,noneducational
GTG,noneducational
WHO,educational
uhjxn,noneducational
NASA,educational
qncwib,noneducational
oyhkepr,noneducational
WHO,educational
aacbv,noneducational
rwb,noneducational
yielposj,noneducational
uiax,noneducational
WWF,noneducational
WWF,noneducational
oqs,noneducational
WWF,noneducational
GTG,noneducational
UNESCO,educational
bfopz,noneducational
WHO,educational
AI,educational
vraogl,noneducational
UNESCO,educational
dhg,noneducational
HTTP,educational
FBI,noneducational
BRB,noneducational
kadamsa,noneducational
btv,noneducational
tipk,noneducational
HTTP,educational
ftpdu,noneducational
luqcc,noneducational
gajt,noneducational
ytaw,noneducational
NASA,educational
nnhnrolj,noneducational
gldquq,noneducational
BRB,noneducational
UNESCO,educational
pikaxy,noneducational
AI,educational
oaok,noneducational
qbae,noneducational
FYI,noneducational
UNESCO,educational
GTG,noneducational
HTTP,educational
LOL,noneducational
WHO,educational
wyqcu,noneducational
qjhpdg,noneducational
GPA,educational
ASAP,noneducational
arkoeu,noneducational
yvo,noneducational
jese,noneducational
UNESCO,educational
PhD,educational
nsi,noneducational
tqjyc,noneducational
cyxipje,noneducational
oqqihjiz,noneducational
FBI,noneducational
piqeunfg,noneducational
gjbkl,noneducational
NASA,educational
oxxispk,noneducational
GTG,noneducational
WHO,educational
BRB,noneducational
GPA,educational
GPA,educational
djhkdcsu,noneducational
GPA,educational
BRB,noneducational
GTG,noneducational
ROFL,noneducational
enyacoy,noneducational
UNESCO,educational
WWF,noneducational
nmubo,noneducational
BRB,noneducational
cojy,noneducational
kfplyyca,noneducational
hvqvn,noneducational
hfw,noneducational
AI,educational
FYI,noneducational
FBI,noneducational
xrzh,noneducational
PhD,educational
rxvcs,noneducational
giugntr,noneducational
GTG,noneducational
qnquwoq,noneducational
yrljnke,noneducational
NASA,educational
tkef,noneducational
jbophhiq,noneducational
GTG,noneducational
ROFL,noneducational
ASAP,noneducational
frfzmad,noneducational
LOL,noneducational
nosry,noneducational
GPA,educational
kkd,noneducational
WHO,educational
ppzb,noneducational
wbnr,noneducational
NASA,educational
dade,noneducational
wcdj,noneducational
AI,educational
WWF,noneducational
wzhgsz,noneducational
mqgplxt,noneducational
lef,noneducational
ROFL,noneducational
WWF,noneducational
bzpaf,noneducational
iqyxeruo,noneducational
GTG,noneducational
zgpobnkr,noneducational
ekcdzag,noneducational
NASA,educational
UNESCO,educational
UNESCO,educational
kyxbdmdf,noneducational
AI,educational
NASA,educational
LOL,noneducational
sgqj,noneducational
bdfbhlfs,noneducational
pnjh,noneducational
bce,noneducational
FYI,noneducational
jyt,noneducational
tndydbt,noneducational
GTG,noneducational
BRB,noneducational
FBI,noneducational
ROFL,noneducational
kfnnuvvf,noneducational
